iya,adajo,abameta,adaniloro,alainitiju,merindinlaadorin,ileifowopamo
ile,adugbo,adepoju,adebowale,amohunmaworan,eroibanisoro,ijobaalagbada
omo,akapo,afobaje,adoekiti,egbalemetala,mokandinlaadota,
baba,alami,afojudi,agbojulogun,aduraorogbo,egbalemeedogun,
ata,aloku,akinkanju,amayederun,isomoloruko,oluwadamilola,
obe,alufaa,alagbara,arinmajagbe,mejidinlogoji,,
awo,alugbe,alagbata,asojuoba,ijbobaapapo,,
eda,aseku,alagbede,atagigun,iyaalakara,,
agbon,aponle,alumoni,eegbegberun,ifowosowopo,,
jade,amodun,anfaani,akalamagbo,mejilelogoji,,
eto,angeli,aperin,akasoleri,owoifehinti,,
oro,asofin,daradara,alantakun,okoofurufu,,
opo,asiri,elomiran,alabojuto,akaraoloyin,,
fere,awako,ekuasin,alailoye,olusoaguntan,,
bere,eniyan,elegbinni,alawodudu,asofinipinle,,
ola,ehoro,elomiran,amayederun,okoigbalode,,
epo,eleja,agbejoro,itesiwaju,asoromagbesi,,
eran,elewe,alabosi,ileigbebi,olusegunfunmi,,
